Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Ne Zha 2,"$2,270,700,370","$23,308,176",1%,"$2,247,392,194",99%
2,Zootopia 2,"$1,866,647,950","$428,130,160",22.9%,"$1,438,517,790",77.1%
3,Avatar: Fire and Ash,"$1,485,999,890","$404,340,010",27.2%,"$1,081,659,880",72.8%
4,Lilo & Stitch,"$1,038,027,526","$423,778,855",40.8%,"$614,248,671",59.2%
5,A Minecraft Movie,"$960,387,780","$424,087,780",44.2%,"$536,300,000",55.8%
6,Jurassic World: Rebirth,"$869,146,189","$339,640,400",39.1%,"$529,505,789",60.9%
7,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$793,500,039","$136,950,340",17.3%,"$656,549,699",82.7%
8,How to Train Your Dragon,"$636,596,299","$262,958,100",41.3%,"$373,638,199",58.7%
9,F1: The Movie,"$634,142,436","$189,642,436",29.9%,"$444,500,000",70.1%
10,Superman,"$618,723,803","$354,223,803",57.3%,"$264,500,000",42.7%
11,Mission: Impossible - The Final Reckoning,"$598,767,057","$197,413,515",33%,"$401,353,542",67%
12,Wicked: For Good,"$540,807,971","$342,915,090",63.4%,"$197,892,881",36.6%
13,The Fantastic Four: First Steps,"$521,858,728","$274,286,610",52.6%,"$247,572,118",47.4%
14,Detective Chinatown 1900,"$500,282,092","$2,229,946",0.4%,"$498,052,146",99.6%
15,The Conjuring: Last Rites,"$499,256,445","$177,756,445",35.6%,"$321,500,000",64.4%
16,Dead to Rights,"$422,789,550",-,-,"$422,789,550",100%
17,Captain America: Brave New World,"$415,101,577","$200,500,001",48.3%,"$214,601,576",51.7%
18,The Housemaid,"$400,489,531","$126,432,462",31.6%,"$274,057,069",68.4%
19,Thunderbolts*,"$382,436,917","$190,274,328",49.8%,"$192,162,589",50.2%
20,Sinners,"$370,489,632","$279,989,632",75.6%,"$90,500,000",24.4%
21,Final Destination: Bloodlines,"$317,854,739","$138,254,739",43.5%,"$179,600,000",56.5%
22,731,"$274,090,081","$410,904",0.1%,"$273,679,177",99.9%
23,Weapons,"$270,072,492","$151,572,492",56.1%,"$118,500,000",43.9%
24,Now You See Me: Now You Don't,"$246,602,999","$61,882,396",25.1%,"$184,720,603",74.9%
25,The Bad Guys 2,"$239,758,675","$82,593,605",34.4%,"$157,165,070",65.6%
26,Five Nights at Freddy's 2,"$238,569,800","$127,730,290",53.5%,"$110,839,510",46.5%
27,One Battle After Another,"$213,218,884","$72,918,884",34.2%,"$140,300,000",65.8%
28,Snow White,"$205,679,463","$87,203,963",42.4%,"$118,475,500",57.6%
29,Marty Supreme,"$192,406,422","$96,034,978",49.9%,"$96,371,444",50.1%
30,Predator: Badlands,"$184,561,056","$91,083,631",49.4%,"$93,477,425",50.6%
31,The SpongeBob Movie: Search for SquarePants,"$169,269,936","$71,068,170",42%,"$98,201,766",58%
32,Detective Conan: One-Eyed Flashback,"$166,061,012",-,-,"$166,061,012",100%
33,Chainsaw Man - The Movie: Reze Arc,"$162,440,471","$43,438,461",26.7%,"$119,002,010",73.3%
34,Elio,"$154,291,182","$72,987,454",47.3%,"$81,303,728",52.7%
35,Freakier Friday,"$153,176,952","$94,186,236",61.5%,"$58,990,716",38.5%
36,28 Years Later,"$151,329,249","$70,446,897",46.6%,"$80,882,352",53.4%
37,Dog Man,"$146,099,230","$97,970,355",67.1%,"$48,128,875",32.9%
38,Tron: Ares,"$142,249,983","$73,161,014",51.4%,"$69,088,969",48.6%
39,Bridget Jones: Mad About the Boy,"$140,433,351",-,-,"$140,433,351",100%
40,Ballerina,"$140,201,236","$58,051,327",41.4%,"$82,149,909",58.6%
